"Cost per message in GBP on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
,GBP,"80,000,001",--,Tier rate,0.0065,-25%,"40,000,001",--,Tier rate,0.0065,-25%,n/a,n/a,n/a,n/a,n/a
Qatar,GBP,0,"100,000",List rate,0.0086,0%,0,"300,000",List rate,0.0086,0%,n/a,n/a,n/a,n/a,n/a
,GBP,"100,001","1,000,000",Tier rate,0.0082,-5%,"300,001","2,000,000",Tier rate,0.0082,-5%,n/a,n/a,n/a,n/a,n/a
,GBP,"1,000,001","4,500,000",Tier rate,0.0077,-10%,"2,000,001","10,000,000",Tier rate,0.0077,-10%,n/a,n/a,n/a,n/a,n/a
,GBP,"4,500,001","40,000,000",Tier rate,0.0073,-15%,"10,000,001","20,000,000",Tier rate,0.0073,-15%,n/a,n/a,n/a,n/a,n/a
,GBP,"40,000,001","80,000,000",Tier rate,0.0069,-20%,"20,000,001","40,000,000",Tier rate,0.0069,-20%,n/a,n/a,n/a,n/a,n/a
,GBP,"80,000,001",--,Tier rate,0.0065,-25%,"40,000,001",--,Tier rate,0.0065,-25%,n/a,n/a,n/a,n/a,n/a
Romania,GBP,0,"100,000",List rate,0.0208,0%,0,"300,000",List rate,0.0208,0%,n/a,n/a,n/a,n/a,n/a
,GBP,"100,001","1,000,000",Tier rate,0.0198,-5%,"300,001","2,000,000",Tier rate,0.0198,-5%,n/a,n/a,n/a,n/a,n/a
,GBP,"1,000,001","4,500,000",Tier rate,0.0187,-10%,"2,000,001","10,000,000",Tier rate,0.0187,-10%,n/a,n/a,n/a,n/a,n/a
