"Cost per message in IDR on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
,IDR,"4,500,001","40,000,000",Tier rate,606.71,-15%,"10,000,001","20,000,000",Tier rate,606.71,-15%,n/a,n/a,n/a,n/a,n/a
,IDR,"40,000,001","80,000,000",Tier rate,571.02,-20%,"20,000,001","40,000,000",Tier rate,571.02,-20%,n/a,n/a,n/a,n/a,n/a
,IDR,"80,000,001",--,Tier rate,535.34,-25%,"40,000,001",--,Tier rate,535.34,-25%,n/a,n/a,n/a,n/a,n/a
Nigeria,IDR,0,"100,000",List rate,95.70,0%,0,"300,000",List rate,95.70,0%,0,"300,000",List rate,"1,071.67",0%
,IDR,"100,001","1,000,000",Tier rate,90.92,-5%,"300,001","2,000,000",Tier rate,90.92,-5%,"300,001","2,000,000",Tier rate,"1,018.09",-5%
,IDR,"1,000,001","4,500,000",Tier rate,86.13,-10%,"2,000,001","10,000,000",Tier rate,86.13,-10%,"2,000,001","10,000,000",Tier rate,964.50,-10%
,IDR,"4,500,001","40,000,000",Tier rate,81.35,-15%,"10,000,001","20,000,000",Tier rate,81.35,-15%,"10,000,001","20,000,000",Tier rate,910.92,-15%
,IDR,"40,000,001","80,000,000",Tier rate,76.56,-20%,"20,000,001","40,000,000",Tier rate,76.56,-20%,"20,000,001","40,000,000",Tier rate,857.34,-20%
,IDR,"80,000,001",--,Tier rate,71.78,-25%,"40,000,001",--,Tier rate,71.78,-25%,"40,000,001",--,Tier rate,803.75,-25%
Pakistan,IDR,0,"150,000",List rate,142.78,0%,0,"100,000",List rate,142.78,0%,0,"100,000",List rate,"1,071.67",0%
,IDR,"150,001","1,000,000",Tier rate,135.64,-5%,"100,001","300,000",Tier rate,135.64,-5%,"100,001","300,000",Tier rate,"1,018.09",-5%
,IDR,"1,000,001","4,000,000",Tier rate,128.50,-10%,"300,001","1,000,000",Tier rate,128.50,-10%,"300,001","1,000,000",Tier rate,964.50,-10%
,IDR,"4,000,001","25,000,000",Tier rate,121.36,-15%,"1,000,001","10,000,000",Tier rate,121.36,-15%,"1,000,001","10,000,000",Tier rate,910.92,-15%
,IDR,"25,000,001","50,000,000",Tier rate,114.22,-20%,"10,000,001","20,000,000",Tier rate,114.22,-20%,"10,000,001","20,000,000",Tier rate,857.34,-20%
,IDR,"50,000,001",--,Tier rate,107.09,-25%,"20,000,001",--,Tier rate,107.09,-25%,"20,000,001",--,Tier rate,803.75,-25%
Peru,IDR,0,"100,000",List rate,285.50,0%,0,"120,000",List rate,285.50,0%,n/a,n/a,n/a,n/a,n/a
,IDR,"100,001","1,000,000",Tier rate,271.23,-5%,"120,001","400,000",Tier rate,271.23,-5%,n/a,n/a,n/a,n/a,n/a
,IDR,"1,000,001","4,500,000",Tier rate,256.95,-10%,"400,001","1,000,000",Tier rate,256.95,-10%,n/a,n/a,n/a,n/a,n/a
,IDR,"4,500,001","15,000,000",Tier rate,242.68,-15%,"1,000,001","5,000,000",Tier rate,242.68,-15%,n/a,n/a,n/a,n/a,n/a
,IDR,"15,000,001","30,000,000",Tier rate,228.40,-20%,"5,000,001","10,000,000",Tier rate,228.40,-20%,n/a,n/a,n/a,n/a,n/a
,IDR,"30,000,001",--,Tier rate,214.13,-25%,"10,000,001",--,Tier rate,214.13,-25%,n/a,n/a,n/a,n/a,n/a
Poland,IDR,0,"100,000",List rate,173.65,0%,0,"300,000",List rate,173.65,0%,n/a,n/a,n/a,n/a,n/a
,IDR,"100,001","1,000,000",Tier rate,164.97,-5%,"300,001","2,000,000",Tier rate,164.97,-5%,n/a,n/a,n/a,n/a,n/a
,IDR,"1,000,001","4,500,000",Tier rate,156.29,-10%,"2,000,001","10,000,000",Tier rate,156.29,-10%,n/a,n/a,n/a,n/a,n/a
,IDR,"4,500,001","40,000,000",Tier rate,147.60,-15%,"10,000,001","20,000,000",Tier rate,147.60,-15%,n/a,n/a,n/a,n/a,n/a
,IDR,"40,000,001","80,000,000",Tier rate,138.92,-20%,"20,000,001","40,000,000",Tier rate,138.92,-20%,n/a,n/a,n/a,n/a,n/a
,IDR,"80,000,001",--,Tier rate,130.24,-25%,"40,000,001",--,Tier rate,130.24,-25%,n/a,n/a,n/a,n/a,n/a
Qatar,IDR,0,"100,000",List rate,171.14,0%,0,"300,000",List rate,171.14,0%,n/a,n/a,n/a,n/a,n/a
,IDR,"100,001","1,000,000",Tier rate,162.58,-5%,"300,001","2,000,000",Tier rate,162.58,-5%,n/a,n/a,n/a,n/a,n/a
,IDR,"1,000,001","4,500,000",Tier rate,154.03,-10%,"2,000,001","10,000,000",Tier rate,154.03,-10%,n/a,n/a,n/a,n/a,n/a
,IDR,"4,500,001","40,000,000",Tier rate,145.47,-15%,"10,000,001","20,000,000",Tier rate,145.47,-15%,n/a,n/a,n/a,n/a,n/a
,IDR,"40,000,001","80,000,000",Tier rate,136.91,-20%,"20,000,001","40,000,000",Tier rate,136.91,-20%,n/a,n/a,n/a,n/a,n/a
,IDR,"80,000,001",--,Tier rate,128.36,-25%,"40,000,001",--,Tier rate,128.36,-25%,n/a,n/a,n/a,n/a,n/a
Romania,IDR,0,"100,000",List rate,412.77,0%,0,"300,000",List rate,412.77,0%,n/a,n/a,n/a,n/a,n/a
,IDR,"100,001","1,000,000",Tier rate,392.13,-5%,"300,001","2,000,000",Tier rate,392.13,-5%,n/a,n/a,n/a,n/a,n/a
,IDR,"1,000,001","4,500,000",Tier rate,371.49,-10%,"2,000,001","10,000,000",Tier rate,371.49,-10%,n/a,n/a,n/a,n/a,n/a
,IDR,"4,500,001","40,000,000",Tier rate,350.85,-15%,"10,000,001","20,000,000",Tier rate,350.85,-15%,n/a,n/a,n/a,n/a,n/a
,IDR,"40,000,001","80,000,000",Tier rate,330.22,-20%,"20,000,001","40,000,000",Tier rate,330.22,-20%,n/a,n/a,n/a,n/a,n/a
,IDR,"80,000,001",--,Tier rate,309.58,-25%,"40,000,001",--,Tier rate,309.58,-25%,n/a,n/a,n/a,n/a,n/a
Russia,IDR,0,"100,000",List rate,570.75,0%,0,"300,000",List rate,570.75,0%,n/a,n/a,n/a,n/a,n/a
,IDR,"100,001","1,000,000",Tier rate,542.21,-5%,"300,001","2,000,000",Tier rate,542.21,-5%,n/a,n/a,n/a,n/a,n/a
,IDR,"1,000,001","4,500,000",Tier rate,513.68,-10%,"2,000,001","10,000,000",Tier rate,513.68,-10%,n/a,n/a,n/a,n/a,n/a
,IDR,"4,500,001","40,000,000",Tier rate,485.14,-15%,"10,000,001","20,000,000",Tier rate,485.14,-15%,n/a,n/a,n/a,n/a,n/a
,IDR,"40,000,001","80,000,000",Tier rate,456.60,-20%,"20,000,001","40,000,000",Tier rate,456.60,-20%,n/a,n/a,n/a,n/a,n/a
,IDR,"80,000,001",--,Tier rate,428.06,-25%,"40,000,001",--,Tier rate,428.06,-25%,n/a,n/a,n/a,n/a,n/a
Saudi Arabia,IDR,0,"100,000",List rate,152.54,0%,0,"300,000",List rate,152.54,0%,0,"300,000",List rate,854.24,0%
,IDR,"100,001","1,000,000",Tier rate,144.91,-5%,"300,001","2,000,000",Tier rate,144.91,-5%,"300,001","2,000,000",Tier rate,811.53,-5%
,IDR,"1,000,001","4,500,000",Tier rate,137.29,-10%,"2,000,001","10,000,000",Tier rate,137.29,-10%,"2,000,001","10,000,000",Tier rate,768.82,-10%
,IDR,"4,500,001","40,000,000",Tier rate,129.66,-15%,"10,000,001","20,000,000",Tier rate,129.66,-15%,"10,000,001","20,000,000",Tier rate,726.10,-15%
,IDR,"40,000,001","80,000,000",Tier rate,122.03,-20%,"20,000,001","40,000,000",Tier rate,122.03,-20%,"20,000,001","40,000,000",Tier rate,683.39,-20%
,IDR,"80,000,001",--,Tier rate,114.41,-25%,"40,000,001",--,Tier rate,114.41,-25%,"40,000,001",--,Tier rate,640.68,-25%
Singapore,IDR,0,"150,000",List rate,228.35,0%,0,"100,000",List rate,228.35,0%,n/a,n/a,n/a,n/a,n/a
,IDR,"150,001","1,000,000",Tier rate,216.93,-5%,"100,001","300,000",Tier rate,216.93,-5%,n/a,n/a,n/a,n/a,n/a
,IDR,"1,000,001","4,000,000",Tier rate,205.52,-10%,"300,001","1,000,000",Tier rate,205.52,-10%,n/a,n/a,n/a,n/a,n/a
