"Cost per message in COP on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
,COP,"100,001","1,000,000",Tier rate,41.9727,-5%,"300,001","2,000,000",Tier rate,41.9727,-5%,n/a,n/a,n/a,n/a,n/a
,COP,"1,000,001","4,500,000",Tier rate,39.7636,-10%,"2,000,001","10,000,000",Tier rate,39.7636,-10%,n/a,n/a,n/a,n/a,n/a
,COP,"4,500,001","40,000,000",Tier rate,37.5545,-15%,"10,000,001","20,000,000",Tier rate,37.5545,-15%,n/a,n/a,n/a,n/a,n/a
,COP,"40,000,001","80,000,000",Tier rate,35.3454,-20%,"20,000,001","40,000,000",Tier rate,35.3454,-20%,n/a,n/a,n/a,n/a,n/a
,COP,"80,000,001",--,Tier rate,33.1364,-25%,"40,000,001",--,Tier rate,33.1364,-25%,n/a,n/a,n/a,n/a,n/a
Romania,COP,0,"100,000",List rate,106.7725,0%,0,"300,000",List rate,106.7725,0%,n/a,n/a,n/a,n/a,n/a
,COP,"100,001","1,000,000",Tier rate,101.4339,-5%,"300,001","2,000,000",Tier rate,101.4339,-5%,n/a,n/a,n/a,n/a,n/a
,COP,"1,000,001","4,500,000",Tier rate,96.0953,-10%,"2,000,001","10,000,000",Tier rate,96.0953,-10%,n/a,n/a,n/a,n/a,n/a
,COP,"4,500,001","40,000,000",Tier rate,90.7566,-15%,"10,000,001","20,000,000",Tier rate,90.7566,-15%,n/a,n/a,n/a,n/a,n/a
,COP,"40,000,001","80,000,000",Tier rate,85.4180,-20%,"20,000,001","40,000,000",Tier rate,85.4180,-20%,n/a,n/a,n/a,n/a,n/a
,COP,"80,000,001",--,Tier rate,80.0794,-25%,"40,000,001",--,Tier rate,80.0794,-25%,n/a,n/a,n/a,n/a,n/a
Russia,COP,0,"100,000",List rate,147.2725,0%,0,"300,000",List rate,147.2725,0%,n/a,n/a,n/a,n/a,n/a
,COP,"100,001","1,000,000",Tier rate,139.9089,-5%,"300,001","2,000,000",Tier rate,139.9089,-5%,n/a,n/a,n/a,n/a,n/a
,COP,"1,000,001","4,500,000",Tier rate,132.5453,-10%,"2,000,001","10,000,000",Tier rate,132.5453,-10%,n/a,n/a,n/a,n/a,n/a
,COP,"4,500,001","40,000,000",Tier rate,125.1816,-15%,"10,000,001","20,000,000",Tier rate,125.1816,-15%,n/a,n/a,n/a,n/a,n/a
,COP,"40,000,001","80,000,000",Tier rate,117.8180,-20%,"20,000,001","40,000,000",Tier rate,117.8180,-20%,n/a,n/a,n/a,n/a,n/a
,COP,"80,000,001",--,Tier rate,110.4544,-25%,"40,000,001",--,Tier rate,110.4544,-25%,n/a,n/a,n/a,n/a,n/a
Saudi Arabia,COP,0,"100,000",List rate,39.3954,0%,0,"300,000",List rate,39.3954,0%,0,"300,000",List rate,220.1724,0%
,COP,"100,001","1,000,000",Tier rate,37.4256,-5%,"300,001","2,000,000",Tier rate,37.4256,-5%,"300,001","2,000,000",Tier rate,209.1638,-5%
,COP,"1,000,001","4,500,000",Tier rate,35.4559,-10%,"2,000,001","10,000,000",Tier rate,35.4559,-10%,"2,000,001","10,000,000",Tier rate,198.1552,-10%
,COP,"4,500,001","40,000,000",Tier rate,33.4861,-15%,"10,000,001","20,000,000",Tier rate,33.4861,-15%,"10,000,001","20,000,000",Tier rate,187.1465,-15%
,COP,"40,000,001","80,000,000",Tier rate,31.5163,-20%,"20,000,001","40,000,000",Tier rate,31.5163,-20%,"20,000,001","40,000,000",Tier rate,176.1379,-20%
,COP,"80,000,001",--,Tier rate,29.5466,-25%,"40,000,001",--,Tier rate,29.5466,-25%,"40,000,001",--,Tier rate,165.1293,-25%
Singapore,COP,0,"150,000",List rate,58.9090,0%,0,"100,000",List rate,58.9090,0%,n/a,n/a,n/a,n/a,n/a
,COP,"150,001","1,000,000",Tier rate,55.9636,-5%,"100,001","300,000",Tier rate,55.9636,-5%,n/a,n/a,n/a,n/a,n/a
