"Cost per message in MXN on the WhatsApp Business Platform, effective July 1, 2026 - Reflecting volume tiers for utility and authentication messages",,,,,,,,,,,,,,,,
Volume tiers apply only to utility and authentication messages. Learn more here:,,,,,https://developers.facebook.com/docs/whatsapp/pricing/volume-tiers,,,,,,,,,,,
"Market
(per rate card)",,Utility,,,,,Authentication,,,,,Authentication-International,,,,
,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,,Messages (per month),,What we charge,,
,Currency,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate,From,To,Rate type,Rate,vs. List rate
,MXN,"40,000,001","80,000,000",Tier rate,0.0986,-20%,"20,000,001","40,000,000",Tier rate,0.0986,-20%,"20,000,001","40,000,000",Tier rate,1.1044,-20%
,MXN,"80,000,001",--,Tier rate,0.0925,-25%,"40,000,001",--,Tier rate,0.0925,-25%,"40,000,001",--,Tier rate,1.0354,-25%
Pakistan,MXN,0,"150,000",List rate,0.1841,0%,0,"100,000",List rate,0.1841,0%,0,"100,000",List rate,1.3805,0%
,MXN,"150,001","1,000,000",Tier rate,0.1749,-5%,"100,001","300,000",Tier rate,0.1749,-5%,"100,001","300,000",Tier rate,1.3115,-5%
,MXN,"1,000,001","4,000,000",Tier rate,0.1657,-10%,"300,001","1,000,000",Tier rate,0.1657,-10%,"300,001","1,000,000",Tier rate,1.2425,-10%
,MXN,"4,000,001","25,000,000",Tier rate,0.1565,-15%,"1,000,001","10,000,000",Tier rate,0.1565,-15%,"1,000,001","10,000,000",Tier rate,1.1734,-15%
,MXN,"25,000,001","50,000,000",Tier rate,0.1473,-20%,"10,000,001","20,000,000",Tier rate,0.1473,-20%,"10,000,001","20,000,000",Tier rate,1.1044,-20%
,MXN,"50,000,001",--,Tier rate,0.1381,-25%,"20,000,001",--,Tier rate,0.1381,-25%,"20,000,001",--,Tier rate,1.0354,-25%
Peru,MXN,0,"100,000",List rate,0.3681,0%,0,"120,000",List rate,0.3681,0%,n/a,n/a,n/a,n/a,n/a
,MXN,"100,001","1,000,000",Tier rate,0.3497,-5%,"120,001","400,000",Tier rate,0.3497,-5%,n/a,n/a,n/a,n/a,n/a
,MXN,"1,000,001","4,500,000",Tier rate,0.3313,-10%,"400,001","1,000,000",Tier rate,0.3313,-10%,n/a,n/a,n/a,n/a,n/a
,MXN,"4,500,001","15,000,000",Tier rate,0.3129,-15%,"1,000,001","5,000,000",Tier rate,0.3129,-15%,n/a,n/a,n/a,n/a,n/a
,MXN,"15,000,001","30,000,000",Tier rate,0.2945,-20%,"5,000,001","10,000,000",Tier rate,0.2945,-20%,n/a,n/a,n/a,n/a,n/a
,MXN,"30,000,001",--,Tier rate,0.2761,-25%,"10,000,001",--,Tier rate,0.2761,-25%,n/a,n/a,n/a,n/a,n/a
Poland,MXN,0,"100,000",List rate,0.2245,0%,0,"300,000",List rate,0.2245,0%,n/a,n/a,n/a,n/a,n/a
,MXN,"100,001","1,000,000",Tier rate,0.2133,-5%,"300,001","2,000,000",Tier rate,0.2133,-5%,n/a,n/a,n/a,n/a,n/a
,MXN,"1,000,001","4,500,000",Tier rate,0.2021,-10%,"2,000,001","10,000,000",Tier rate,0.2021,-10%,n/a,n/a,n/a,n/a,n/a
,MXN,"4,500,001","40,000,000",Tier rate,0.1908,-15%,"10,000,001","20,000,000",Tier rate,0.1908,-15%,n/a,n/a,n/a,n/a,n/a
,MXN,"40,000,001","80,000,000",Tier rate,0.1796,-20%,"20,000,001","40,000,000",Tier rate,0.1796,-20%,n/a,n/a,n/a,n/a,n/a
